scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.65038615,10571,162601,AH,Pasta geraspte kaas,"Speciaal voor Pasta, een melange van maasdammer en Goudse jong belegen kaas. Smaak: Extra smeuïg Gemaakt van: Koemelk","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen melk' 'Laag vet' 'Geen mosterd' 'Nutri-Score D' 'Geen sulfiet'
 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']",Kaas vleeswaren tapas Kaas Kaas voor maaltijden Geraspte kaas,"ah [SEP] pasta geraspte kaas [SEP] Speciaal voor Pasta, een melange van maasdammer en Goudse jong belegen kaas. Smaak: Extra smeuïg Gemaakt van: Koemelk [SEP] kzb k rasp specialiteit",ah pasta geraspte kaas kzb k rasp specialiteit,null,null,null
0.6232841,208,146483,AH,Pastasaus 5 kazen,Lekkere romige saus Heerlijk voor bij de verse pasta,"['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Nutri-Score C' 'Geen sulfiet' 'Geen sesam'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Geen eieren' 'Geen noten' 'Vegetarisch' 'Geen selderij' 'Geen gluten']","Pasta rijst en wereldkeuken Soepen sauzen kruiden olie
 Salades pizza maaltijden Verse pasta en pastasaus Sauzen
 Pasta rijst noedels Mediterrane keuken Pastasaus (vers)
 Pasta sauzen Italiaanse keuken Pasta Italiaanse pasta",ah [SEP] pastasaus 5 kazen [SEP] Lekkere romige saus Heerlijk voor bij de verse pasta [SEP] pastasaus,ah pastasaus 5 kazen pastasaus,null,null,null
0.55327016,5188,416656,AH,Basis pastasaus Italiaanse kruiden,Met deze basis pastasaus zet je in een handomdraai een op-en-top Italiaanse pasta op tafel. Buon appetito! Pastasaus vol Italiaanse kruiden Ook voor het bereiden van een heerlijke lasagnemaaltijd Prijsfavorieten: topkwaliteit en altijd laaggeprijsd,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Geen selderij' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen mosterd' 'Geen lactose' 'Nutri-Score B' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Prijsfavoriet' 'Geen eieren'
 'Geen noten' 'Geen gluten']","Pasta rijst en wereldkeuken Soepen sauzen kruiden olie Sauzen
 Mediterrane keuken Pasta sauzen Italiaanse keuken
 Pastasaus in pot",ah [SEP] basis pastasaus italiaanse kruiden [SEP] Met deze basis pastasaus zet je in een handomdraai een op-en-top Italiaanse pasta op tafel. Buon appetito! Pastasaus vol Italiaanse kruiden Ook voor het bereiden van een heerlijke lasagnemaaltijd Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] pastasaus pak,ah basis pastasaus italiaanse kruiden pastasaus pak,null,null,null
0.54793024,2377,163822,AH,Parmigiano Reggiano DOP 32+,"Deze typisch Italiaanse kaas, ook wel bekend onder de naam Parmezaanse kaas, wordt geroemd om haar karaktervolle smaak en korrelige structuur. Een harde kaas van koemelk met een kruidige en pikante smaak door het zouten en de minimale rijping van maar liefst 22 maanden. Dé finishing touch van je pastamaaltijd en vele andere gerechten. Smaak: Karakteristiek en rijk Herkomst: Italië Gemaakt van: Rauwe koemelk","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Nutri-Score D' 'Geen sulfiet' 'Geen sesam'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Geen eieren' 'Geen noten' 'Vegetarisch' 'Geen selderij' 'Geen gluten']","Kaas vleeswaren tapas Kaas Kaas voor borrel
 Kaas voor maaltijden Grano padano parmezaanse kaas
 Parmezaanse kaas","ah [SEP] parmigiano reggiano dop 32+ [SEP] Deze typisch Italiaanse kaas, ook wel bekend onder de naam Parmezaanse kaas, wordt geroemd om haar karaktervolle smaak en korrelige structuur. Een harde kaas van koemelk met een kruidige en pikante smaak door het zouten en de minimale rijping van maar liefst 22 maanden. Dé finishing touch van je pastamaaltijd en vele andere gerechten. Smaak: Karakteristiek en rijk Herkomst: Italië Gemaakt van: Rauwe koemelk [SEP] kb k rasp specialiteit",ah parmigiano reggiano dop 32+ kb k rasp specialiteit,null,null,null
0.5364933,11588,395368,Grand' Italia,Romana met italiaanse kazen,In de Grand'Italia romana kaassaus worden lekkerste Italiaanse kazen gecombineerd met een basis van room. Geschikt voor 2 personen. Ricetta italiana - volgens italiaans recept Met Italiaanse kazen Direct klaar voor gebruik Glutenvrij,"['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Geen sulfiet' 'Geen sesam' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Geen noten'
 'Vegetarisch' 'Geen selderij' 'Geen eieren' 'Geen gluten']","Pasta rijst en wereldkeuken Soepen sauzen kruiden olie Sauzen
 Mediterrane keuken Pasta sauzen Italiaanse keuken
 Pastasaus in pot",grand' italia [SEP] romana met italiaanse kazen [SEP] In de Grand'Italia romana kaassaus worden lekkerste Italiaanse kazen gecombineerd met een basis van room. Geschikt voor 2 personen. Ricetta italiana - volgens italiaans recept Met Italiaanse kazen Direct klaar voor gebruik Glutenvrij [SEP] pastasaus pot,grand' italia romana met italiaanse kazen pastasaus pot,null,null,null
0.53479934,1084,416663,AH,Pastasaus basis pikant,Met deze pikante basis pastasaus zet je in een handomdraai een op-en-top Italiaanse pasta op tafel. Buon appetito! Pikante pastasaus met kruiden en extra virgine olijfolie Ook voor het bereiden van een heerlijke lasagnemaaltijd Prijsfavorieten: topkwaliteit en altijd laaggeprijsd,"['Geen melk' 'Geen noten' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen lactose' 'Nutri-Score A' 'Geen sulfiet' 'Veganistisch' 'Geen sesam'
 'Laag vet' 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Prijsfavoriet'
 'Geen eieren' 'Geen mosterd' 'Geen selderij' 'Geen gluten']","Pasta rijst en wereldkeuken Soepen sauzen kruiden olie Sauzen
 Mediterrane keuken Pasta sauzen Italiaanse keuken
 Pastasaus in pot",ah [SEP] pastasaus basis pikant [SEP] Met deze pikante basis pastasaus zet je in een handomdraai een op-en-top Italiaanse pasta op tafel. Buon appetito! Pikante pastasaus met kruiden en extra virgine olijfolie Ook voor het bereiden van een heerlijke lasagnemaaltijd Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] pastasaus pak,ah pastasaus basis pikant pastasaus pak,null,null,null
0.5327269,7716,478231,Zanetti,Parmigiano reggiano flakes,"Deze typisch italiaanse kaas, ook wel bekend onder de naam parmezaanse kaas, karaktervolle van smaak. Een harde kaas van koemelk met een kruidige en pikante smaak. Smaak: karakteristiek en rijk Herkomst: italie Gemaakt van: rauwe koemelk Ideaal over italiaanse gerechten","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Geen sulfiet' 'Geen sesam' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Geen eieren'
 'Geen noten' 'Vegetarisch' 'Geen selderij' 'Geen gluten']",Kaas vleeswaren tapas Kaas Kaas voor maaltijden Geraspte kaas,"zanetti [SEP] parmigiano reggiano flakes [SEP] Deze typisch italiaanse kaas, ook wel bekend onder de naam parmezaanse kaas, karaktervolle van smaak. Een harde kaas van koemelk met een kruidige en pikante smaak. Smaak: karakteristiek en rijk Herkomst: italie Gemaakt van: rauwe koemelk Ideaal over italiaanse gerechten [SEP] kzb k maaltijd",zanetti parmigiano reggiano flakes kzb k maaltijd,null,null,null
0.5260658,117,478224,Zanetti,Parmigiano Reggiano 30+,"Deze typisch italiaanse kaas, ook wel bekend onder de naam parmezaanse kaas, karaktervolle van smaak met een korrelige structuur. Een harde kaas van koemelk met een kruidige en pikante smaak. Perfect in te raspen over italiaanse gerechten. Smaak: karakteristiek en rijk Herkomst: italie Gemaakt van: rauwe koemelk Ideaal over italiaanse gerechten","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Geen sulfiet' 'Geen sesam' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Geen eieren'
 'Geen noten' 'Vegetarisch' 'Geen selderij' 'Geen gluten']","Kaas vleeswaren tapas Kaas Kaas voor borrel
 Kaas voor maaltijden Grano padano parmezaanse kaas
 Parmezaanse kaas","zanetti [SEP] parmigiano reggiano 30+ [SEP] Deze typisch italiaanse kaas, ook wel bekend onder de naam parmezaanse kaas, karaktervolle van smaak met een korrelige structuur. Een harde kaas van koemelk met een kruidige en pikante smaak. Perfect in te raspen over italiaanse gerechten. Smaak: karakteristiek en rijk Herkomst: italie Gemaakt van: rauwe koemelk Ideaal over italiaanse gerechten [SEP] kzb k maaltijd",zanetti parmigiano reggiano 30+ kzb k maaltijd,null,null,null
0.52589965,2801,364395,AH,Pastasaus Funghi,"Met mascarpone,room, paddenstoelenmix en marsalawijn Glutenvrij","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen melk' 'Laag vet' 'Geen mosterd' 'Nutri-Score C' 'Geen sulfiet'
 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']","Pasta rijst en wereldkeuken Soepen sauzen kruiden olie
 Salades pizza maaltijden Verse pasta en pastasaus Sauzen
 Pasta rijst noedels Mediterrane keuken Pastasaus (vers)
 Pasta sauzen Italiaanse keuken Pasta Italiaanse pasta","ah [SEP] pastasaus funghi [SEP] Met mascarpone,room, paddenstoelenmix en marsalawijn Glutenvrij [SEP] pastasaus",ah pastasaus funghi pastasaus,null,null,null
0.5189703,12421,191461,Grand' Italia,Formaggio pastasaus,Grand'italia formaggio is een heerlijke pastasaus op basis van tomaten met smaakvolle en karakteristieke Italiaanse kazen. Geschikt voor 4 personen. Prodotto italiano - gemaakt met italiaans product Met Italiaanse kazen Direct klaar voor gebruik Glutenvrij,"['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Geen selderij' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Geen sulfiet' 'Geen sesam' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Geen noten' 'Vegetarisch' 'Geen eieren' 'Geen gluten']","Pasta rijst en wereldkeuken Soepen sauzen kruiden olie Sauzen
 Mediterrane keuken Pasta sauzen Italiaanse keuken
 Pastasaus in pot",grand' italia [SEP] formaggio pastasaus [SEP] Grand'italia formaggio is een heerlijke pastasaus op basis van tomaten met smaakvolle en karakteristieke Italiaanse kazen. Geschikt voor 4 personen. Prodotto italiano - gemaakt met italiaans product Met Italiaanse kazen Direct klaar voor gebruik Glutenvrij [SEP] pastasaus pot,grand' italia formaggio pastasaus pastasaus pot,null,null,null
