scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.6233211,18424,460316,Mucho Más,Blanco,"Het doel van deze wijn was om een onderscheidende stijl te creëren door de kwaliteiten van drie verschillende druivensoorten (verdejo, sauvignon blanc en chardonnay) te benutten.",[],"Wijn en bubbels Witte wijn Wijn per doos Witte wijn per doos
 Fris & fruitig witte wijn (per doos)","mucho más [SEP] blanco [SEP] Het doel van deze wijn was om een onderscheidende stijl te creëren door de kwaliteiten van drie verschillende druivensoorten (verdejo, sauvignon blanc en chardonnay) te benutten. [SEP] ",mucho más blanco ,null,null,null
0.6140225,18236,387108,Gort & Gort,Prestige sauvignon blanc,"Zomer in je glas. Fruitige aroma's spetteren je glas uit en in je mond is het een en al sap. Heerlijk als borrel- en lunchwijn. Kleur, smaak: Wit, fris en droog Druivenras: Sauvignon blanc, semillon Land, streek: Frankrijk, bordeaux Lekker bij: Salade, vis","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Geen sulfiet' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Veganistisch' 'Geen sesam'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']","Wijn en bubbels Witte wijn Sauvignon Blanc
 Sauvignon Blanc (Frankrijk)","gort & gort [SEP] prestige sauvignon blanc [SEP] Zomer in je glas. Fruitige aroma's spetteren je glas uit en in je mond is het een en al sap. Heerlijk als borrel- en lunchwijn. Kleur, smaak: Wit, fris en droog Druivenras: Sauvignon blanc, semillon Land, streek: Frankrijk, bordeaux Lekker bij: Salade, vis [SEP] frankrijk",gort & gort prestige sauvignon blanc frankrijk,null,null,null
0.61156684,18431,496587,2Wine,White,"Een droge witte wijn boordevol geurig fruit en met knisperende zuren. Precies wat je van een sauvignon blanc verwacht, alleen nu in een handig, licht blikje van 25 cl. Net zo lekker en eco-friendly. Kleur, smaak: Wit, fris en droog Druivenras: Sauvignon blanc Land, streek: Frankrijk Lekker bij: Salade, vis","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Geen sulfiet' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Geen sesam' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']",Wijn en bubbels Wijnflesjes (klein) Witte wijn Witte wijn (klein),"2wine [SEP] white [SEP] Een droge witte wijn boordevol geurig fruit en met knisperende zuren. Precies wat je van een sauvignon blanc verwacht, alleen nu in een handig, licht blikje van 25 cl. Net zo lekker en eco-friendly. Kleur, smaak: Wit, fris en droog Druivenras: Sauvignon blanc Land, streek: Frankrijk Lekker bij: Salade, vis [SEP] wit",2wine white wit,null,null,null
0.6098452,18674,192789,Arrogant Frog,Vineyard Selection Sauvignon Blanc,"De druiven voor deze frisse, maar toch rijke sauvignon blanc zijn afkomstig van een speciaal geselecteerde wijngaard. Jean-claude mas, de wijnmaker, maakte er een aangename wijn van, perfect bij het aperitief.",[],"Wijn en bubbels Witte wijn Sauvignon Blanc
 Sauvignon Blanc (Frankrijk)","arrogant frog [SEP] vineyard selection sauvignon blanc [SEP] De druiven voor deze frisse, maar toch rijke sauvignon blanc zijn afkomstig van een speciaal geselecteerde wijngaard. Jean-claude mas, de wijnmaker, maakte er een aangename wijn van, perfect bij het aperitief. [SEP] ",arrogant frog vineyard selection sauvignon blanc ,null,null,null
0.6088448,5722,492374,Origin,Sauvignon Blanc wijntap,"In de handige wijntap zit 2,25 liter (is 3 flessen) sauvignon blanc. Hij is fris met aromas van citrus en perzik. In de koelkast blijft deze heerlijke borrelwijn na opening minstens 4 weken goed. Kleur, smaak: Wit, vol  en  droog Druivenras: Sauvignon blanc Land, streek: Zuid-afrika, western cape Lekker bij: Salades, vis","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Geen sulfiet' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Veganistisch' 'Geen sesam'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']",Wijn en bubbels Wijntaps,"origin [SEP] sauvignon blanc wijntap [SEP] In de handige wijntap zit 2,25 liter (is 3 flessen) sauvignon blanc. Hij is fris met aromas van citrus en perzik. In de koelkast blijft deze heerlijke borrelwijn na opening minstens 4 weken goed. Kleur, smaak: Wit, vol  en  droog Druivenras: Sauvignon blanc Land, streek: Zuid-afrika, western cape Lekker bij: Salades, vis [SEP] wit",origin sauvignon blanc wijntap wit,null,null,null
0.607015,18864,369556,Villebois,Sauvignon Blanc,"Een wijn waar het fruit uitspat! Doet denken aan de intense aromatische Nieuw-Zeelandse Sauvignon Blanc. Opwekkend met tonen van citrus, gemaaid gras en kruisbessen. Zeer toegankelijk van smaak. Een ideale wijn voor bij het aperitief en bij geitenkazen. Deze wijn won een gouden médaille bij het concours mondial Bruxelles en een zilveren médaille bij de International Wine Challenge.",[],"Wijn en bubbels Witte wijn Sauvignon Blanc
 Sauvignon Blanc (Frankrijk)","villebois [SEP] sauvignon blanc [SEP] Een wijn waar het fruit uitspat! Doet denken aan de intense aromatische Nieuw-Zeelandse Sauvignon Blanc. Opwekkend met tonen van citrus, gemaaid gras en kruisbessen. Zeer toegankelijk van smaak. Een ideale wijn voor bij het aperitief en bij geitenkazen. Deze wijn won een gouden médaille bij het concours mondial Bruxelles en een zilveren médaille bij de International Wine Challenge. [SEP] ",villebois sauvignon blanc ,null,null,null
0.60411465,20077,499034,Inycon,Estate Sauvignon Blanc,Een frisfruitige sauvignon blanc uit sicilie. Een ideale wijn bij de borrel of bij salades.,[],"Wijn en bubbels Witte wijn Sauvignon Blanc
 Sauvignon Blanc (Italië)",inycon [SEP] estate sauvignon blanc [SEP] Een frisfruitige sauvignon blanc uit sicilie. Een ideale wijn bij de borrel of bij salades. [SEP] ,inycon estate sauvignon blanc ,null,null,null
0.6007442,16363,411213,Cono Sur,Bicicleta pinot noir,"Heerlijke wijn met het sappige van bes en kers. Geschikt voor bij allerlei lichte gerechten. Ook lekker als rode borrelwijn die je koel serveert. Kleur, smaak: rood, fruitig Druivenras: pinot noir Land, streek: Chili Lekker bij: kip, vis Bekroond: Hamersma,8+","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Geen sulfiet' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Geen sesam' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Geen eieren' 'Geen noten' 'Vegetarisch' 'Geen selderij' 'Geen gluten']",Wijn en bubbels Rode wijn Pinot Noir Pinot Noir (Chili),"cono sur [SEP] bicicleta pinot noir [SEP] Heerlijke wijn met het sappige van bes en kers. Geschikt voor bij allerlei lichte gerechten. Ook lekker als rode borrelwijn die je koel serveert. Kleur, smaak: rood, fruitig Druivenras: pinot noir Land, streek: Chili Lekker bij: kip, vis Bekroond: Hamersma,8+ [SEP] zuid-amerika",cono sur bicicleta pinot noir zuid-amerika,null,null,null
0.5995195,20373,93754,Valdivieso,Cabernet Sauvignon winemaker reserva,"Fruitaroma's van frambozen, aardbeien en zwarte bessen komen je
				  tegemoet! Naast een subtiele lichte krudigheid. Dit is een rode wijn met heel
				  veel smaak die een enigszins zoete indruk in de mond achterlaat.",[],"Wijn en bubbels Rode wijn Cabernet Sauvignon
 Cabernet Sauvignon (Chili)","valdivieso [SEP] cabernet sauvignon winemaker reserva [SEP] Fruitaroma's van frambozen, aardbeien en zwarte bessen komen je
				  tegemoet! Naast een subtiele lichte krudigheid. Dit is een rode wijn met heel
				  veel smaak die een enigszins zoete indruk in de mond achterlaat. [SEP] ",valdivieso cabernet sauvignon winemaker reserva ,null,null,null
0.5993033,19323,369741,Pagos de Galir,Godello,"De Godello druif is aanverwant aan de Verdelho druif, van origine een belangrijke druif voor de Madeira productie. Tegenwoordig wordt deze druif aangeplant in Spanje, Portugal en Australië. Kenmerkend aan deze wijn is z'n fruitige neus waarin je gestoofde peertjes herkent. De wijn heeft een soepele aanzet waarna je gekruide peer, honing en ananas proeft. Hij is vrij rond van smaak met op de achtergrond verfrissende zuren voor de balans. Een zeer verrassende wijn, erg mooi gemaakte wijn!",[],Wijn en bubbels Witte wijn Overige witte wijn Godello,"pagos de galir [SEP] godello [SEP] De Godello druif is aanverwant aan de Verdelho druif, van origine een belangrijke druif voor de Madeira productie. Tegenwoordig wordt deze druif aangeplant in Spanje, Portugal en Australië. Kenmerkend aan deze wijn is z'n fruitige neus waarin je gestoofde peertjes herkent. De wijn heeft een soepele aanzet waarna je gekruide peer, honing en ananas proeft. Hij is vrij rond van smaak met op de achtergrond verfrissende zuren voor de balans. Een zeer verrassende wijn, erg mooi gemaakte wijn! [SEP] ",pagos de galir godello ,null,null,null
