scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.26736188,5371,535137,AH,Vegan mayo met truffelsmaak,,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Laag vet' 'Geen mosterd'
 'Geen lactose' 'Nutri-Score D' 'Geen sulfiet' 'Veganistisch' 'Geen sesam'
 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']","Soepen sauzen kruiden olie Sauzen Snacksauzen mayonaise
 Mayonaise Truffel pesto mayonaise",ah [SEP] vegan mayo met truffelsmaak [SEP]  [SEP] mayonaise,ah vegan mayo met truffelsmaak mayonaise,null,null,null
0.23939854,10338,476433,Flower Farm,Smeren zonder palm,,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Laag vet'
 'Geen mosterd' 'Geen lactose' 'Geen sulfiet' 'Veganistisch' 'Geen sesam'
 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']","Ontbijtgranen en beleg Zuivel plantaardig en eieren Boter
 Boter voor op brood 3/4 margarine (smeerbaar)",flower farm [SEP] smeren zonder palm [SEP]  [SEP] margarine kuipje,flower farm smeren zonder palm margarine kuipje,null,null,null
0.22257496,6153,537158,AH,Champignonsoep verspakket,,"['Geen gluten' 'Laag zout' 'Geen lactose' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Laag suiker'
 'Geen selderij' 'Geen schelpdieren (schaaldieren)' 'Geen eieren'
 'Geen noten' 'Geen lupine' 'Geen mosterd' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Nutri-Score C' 'Geen sulfiet' 'Geen sesam']","Aardappel groente fruit Salades pizza maaltijden Groente
 Verspakket Soeppakketten (vers) Groentepakket",ah [SEP] champignonsoep verspakket [SEP]  [SEP] onbewerkt verspakket soep,ah champignonsoep verspakket onbewerkt verspakket soep,null,null,null
0.21899723,13745,189298,AH,Belgische Mayonaise,Bereid met vrije-uitloopeieren Volgens Belgische receptuur,"['Geen melk' 'Geen soja' 'Geen kreeftachtigen (schaaldieren)' 'Geen vis'
 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Laag vet'
 'Geen lactose' 'Nutri-Score D' 'Geen sulfiet' 'Geen sesam' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Geen noten'
 'Geen mosterd' 'Geen selderij' 'Geen eieren' 'Geen gluten']","Soepen sauzen kruiden olie Sauzen Snacksauzen mayonaise
 Mayonaise Mayonaise (in pot)",ah [SEP] belgische mayonaise [SEP] Bereid met vrije-uitloopeieren Volgens Belgische receptuur [SEP] mayonaise,ah belgische mayonaise mayonaise,null,null,null
0.21149303,18888,509346,AH,Vegan mayo,"AH Vegan mayo heeft de heerlijke romige smaak en 100% plantaardig Heerlijk bij frites, snacks, gebakken aardappelen en op sandwiches Ook ideaal voor het bereiden van saladedressings","['Geen melk' 'Geen soja' 'Geen kreeftachtigen (schaaldieren)' 'Geen vis'
 'Laag suiker' 'Geen selderij' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Laag vet' 'Geen lactose' 'Nutri-Score D' 'Geen sulfiet' 'Veganistisch'
 'Geen sesam' 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Geen eieren'
 'Geen noten' 'Geen mosterd' 'Geen gluten']","Soepen sauzen kruiden olie Sauzen Snacksauzen mayonaise
 Mayonaise Mayonaise (in pot)","ah [SEP] vegan mayo [SEP] AH Vegan mayo heeft de heerlijke romige smaak en 100% plantaardig Heerlijk bij frites, snacks, gebakken aardappelen en op sandwiches Ook ideaal voor het bereiden van saladedressings [SEP] mayonaise",ah vegan mayo mayonaise,null,null,null
0.2109021,15508,203323,AH Excellent,Belgische mayonaise,,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Laag vet'
 'Geen lactose' 'Nutri-Score D' 'Geen sulfiet' 'Geen sesam' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Geen noten'
 'Geen mosterd' 'Geen selderij' 'Geen eieren' 'Geen gluten']","Soepen sauzen kruiden olie Sauzen Snacksauzen mayonaise
 Mayonaise Mayonaise (in pot)",ah excellent [SEP] belgische mayonaise [SEP]  [SEP] mayonaise,ah excellent belgische mayonaise mayonaise,null,null,null
0.20985395,923,124141,AH,Rijkgevulde champignonsoep,Een heerlijke rijkgevulde champignonsoep met bieslook Met hollandse champignons Extra gevuld en romig van smaak,"['Geen gluten' 'Geen lactose' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Laag suiker' 'Geen lupine' ""Geen pinda's""
 'Geen melk' 'Laag vet' 'Geen mosterd' 'Nutri-Score C' 'Geen sulfiet'
 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Vegetarisch' 'Geen selderij']","Soepen sauzen kruiden olie Conserven Soepen Soepen in blik
 Soep (opwarmen) Champignonsoep in blik Soep in blik",ah [SEP] rijkgevulde champignonsoep [SEP] Een heerlijke rijkgevulde champignonsoep met bieslook Met hollandse champignons Extra gevuld en romig van smaak [SEP] maaltijdsoep 1 persoons blik,ah rijkgevulde champignonsoep maaltijdsoep 1 persoons blik,null,null,null
0.20777059,10077,517427,Bonne Maman,Financiers amandes,"Heerlijke amandel cakejes gemaakt volgens traditioneel frans recept met een rijke roomboter- amandelsmaak. Authentieke franse receptuur Heerlijk rijke boter- en amandelsmaak Individueel verpakt, zo blijft het product altijd vers Zonder bewaarmiddelen, kleur- of kunstmatige smaakstoffen","['Geen gluten' 'Geen lactose' 'Geen noten' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen lupine' ""Geen pinda's""
 'Vegetarisch' 'Geen melk' 'Geen selderij' 'Geen mosterd' 'Geen sulfiet'
 'Geen sesam' 'Geen eieren']",Snoep koek chips en chocolade Koek Cake Cakejes,"bonne maman [SEP] financiers amandes [SEP] Heerlijke amandel cakejes gemaakt volgens traditioneel frans recept met een rijke roomboter- amandelsmaak. Authentieke franse receptuur Heerlijk rijke boter- en amandelsmaak Individueel verpakt, zo blijft het product altijd vers Zonder bewaarmiddelen, kleur- of kunstmatige smaakstoffen [SEP] verpakt premium",bonne maman financiers amandes verpakt premium,null,null,null
0.20712516,8665,541732,AH,Champignonsoep verspakket,"Met dit pakket heb je alles bij de hand om een lekkere champignonsoep te maken, die je met trots op tafel kunt zetten. Dit pakket bevat: AH Champignonsoep verspakket 1x AH Bieslook 25 gram 1x AH Kookroom 250 ml 1x",[],"Aardappel groente fruit Salades pizza maaltijden Groente
 Verspakket Soeppakketten (vers) Groentepakket","ah [SEP] champignonsoep verspakket [SEP] Met dit pakket heb je alles bij de hand om een lekkere champignonsoep te maken, die je met trots op tafel kunt zetten. Dit pakket bevat: AH Champignonsoep verspakket 1x AH Bieslook 25 gram 1x AH Kookroom 250 ml 1x [SEP] ",ah champignonsoep verspakket ,null,null,null
0.20602652,14577,537223,Mister Kitchen's,Original mayo vegan,"Frisse vegan mayo die eivrij, lactosevrij, glutenvrij, maar vooral onweerstaanbaar is. Het 100% plantaardige alternatief voor jouw favoriete mayonaise, rechtstreeks uit de keuken van mister kitchen. Veganistisch  en  vegetarisch Glutenvrij, eivrij  en  lactosevrij Op basis van plantaardige eiwitten Perfect voor friet, groente en salade","['Laag zout' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Geen sulfiet' 'Laag suiker'
 'Geen schelpdieren (schaaldieren)' 'Vegetarisch' 'Geen eieren'
 'Geen noten' 'Geen lupine' 'Geen mosterd' ""Geen pinda's"" 'Laag vet'
 'Geen selderij' 'Geen lactose' 'Veganistisch' 'Geen sesam' 'Geen gluten']","Soepen sauzen kruiden olie Sauzen Snacksauzen mayonaise
 Mayonaise Mayonaise (minder vet)","mister kitchen's [SEP] original mayo vegan [SEP] Frisse vegan mayo die eivrij, lactosevrij, glutenvrij, maar vooral onweerstaanbaar is. Het 100% plantaardige alternatief voor jouw favoriete mayonaise, rechtstreeks uit de keuken van mister kitchen. Veganistisch  en  vegetarisch Glutenvrij, eivrij  en  lactosevrij Op basis van plantaardige eiwitten Perfect voor friet, groente en salade [SEP] partysauzen",mister kitchen's original mayo vegan partysauzen,null,null,null
