scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.15173404,18687,421520,Roter,Paracetamol liquid caps 500 mg,"Paracetamol kan helpen acute pijn te verlichten en de koorts te verlagen. Roter Paracetamol liquid caps zijn makkelijk in te nemen zachte capsules van 500mg paracetamol. Kan worden toegepast bij matige pijn en/of om koorts te verlagen. Meer info? Bekijk hieronder de productinformatie Persoonlijk advies nodig? Bel gratis: 0800-4040017. Wij zijn bereikbaar van maandag t/m vrijdag van 09.00 - 17.00 uur. Of kijk op http://www.thuisarts.nl/ Wij adviseren u alleen tot aanschaf en gebruik van een zelfzorgmedicijn over te gaan indien u goed geinformeerd bent. De informatie op ah.nl vervangt niet het individueel advies van een arts, apotheker of drogist. Voor de volledige consumenten-informatie van een zelfzorgmedicijn, verwijzen wij u naar de bijsluiter van de fabrikant, zoals goedgekeurd door het College ter Beoordeling van Geneesmiddelen. AH biedt deze verwijzingen, zoals het CBG, als service aan. AH is niet verantwoordelijk voor de juistheid van de aldaar aangeboden informatie. Er geldt voor dit product een maximum van 3 stuks per bestelling.",['Laag zout' 'Laag vet' 'Laag suiker'],Drogisterij Gezondheid Zelfzorg Pijnstillers Paracetamol,"roter [SEP] paracetamol liquid caps 500 mg [SEP] Paracetamol kan helpen acute pijn te verlichten en de koorts te verlagen. Roter Paracetamol liquid caps zijn makkelijk in te nemen zachte capsules van 500mg paracetamol. Kan worden toegepast bij matige pijn en/of om koorts te verlagen. Meer info? Bekijk hieronder de productinformatie Persoonlijk advies nodig? Bel gratis: 0800-4040017. Wij zijn bereikbaar van maandag t/m vrijdag van 09.00 - 17.00 uur. Of kijk op http://www.thuisarts.nl/ Wij adviseren u alleen tot aanschaf en gebruik van een zelfzorgmedicijn over te gaan indien u goed geinformeerd bent. De informatie op ah.nl vervangt niet het individueel advies van een arts, apotheker of drogist. Voor de volledige consumenten-informatie van een zelfzorgmedicijn, verwijzen wij u naar de bijsluiter van de fabrikant, zoals goedgekeurd door het College ter Beoordeling van Geneesmiddelen. AH biedt deze verwijzingen, zoals het CBG, als service aan. AH is niet verantwoordelijk voor de juistheid van de aldaar aangeboden informatie. Er geldt voor dit product een maximum van 3 stuks per bestelling. [SEP] pijnstillers",roter paracetamol liquid caps 500 mg pijnstillers,null,null,null
0.14825882,4243,516978,AH,Guacamoledip stijl,,"['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's""
 'Geen melk' 'Laag vet' 'Geen mosterd' 'Nutri-Score C' 'Geen sulfiet'
 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']","Snoep koek chips en chocolade Chips Smaakvarianten chips
 Diverse smaken chips",ah [SEP] guacamoledip stijl [SEP]  [SEP] salsa dipsauzen,ah guacamoledip stijl salsa dipsauzen,null,null,null
0.1416991,15317,477815,Hero Nutrasense,Comfort+ AR 2 opvolgmelk 6-12 mnd,"Hero nutrasense comfort+ ar opvolgmelk 2 is flesvoeding geschikt voor baby's vanaf 6 maanden, bij spugen, krampjes en/of moeizame ontlasting. Deze Hero nutrasense babyvoeding is geheel palmolievrij. Opvolgmelk verpakt onder beschermde atmosfeer Babyvoeding met een vetsamenstelling met melkvet Vrij van palmolie Hero nutrasense heeft meer dan 80 jaar ervaring",[],Baby en kind Babyvoeding Flesvoeding Vanaf 6 maanden (opvolgmelk),"hero nutrasense [SEP] comfort+ ar 2 opvolgmelk 6-12 mnd [SEP] Hero nutrasense comfort+ ar opvolgmelk 2 is flesvoeding geschikt voor baby's vanaf 6 maanden, bij spugen, krampjes en/of moeizame ontlasting. Deze Hero nutrasense babyvoeding is geheel palmolievrij. Opvolgmelk verpakt onder beschermde atmosfeer Babyvoeding met een vetsamenstelling met melkvet Vrij van palmolie Hero nutrasense heeft meer dan 80 jaar ervaring [SEP] zuigelingenvoeding",hero nutrasense comfort+ ar 2 opvolgmelk 6-12 mnd zuigelingenvoeding,null,null,null
0.13710044,4290,30686,Roter,Paracetamol 500 mg tabletten,"Roter Paracetamol 500mg, tabletten, bestemd voor patienten met hoofdpijn, zenuwpijn, koorts en pijn bij griep en verkoudheid, koorts en pijn na vaccinatie, spierpijn, kiespijn, menstruatiepijn, spit. Meer info? Bekijk hieronder de productinformatie Persoonlijk advies nodig? Bel gratis: 0800-4040017. Wij zijn bereikbaar van maandag t/m vrijdag van 09.00 - 17.00 uur. Of kijk op http://www.thuisarts.nl/ Wij adviseren u alleen tot aanschaf en gebruik van een zelfzorgmedicijn over te gaan indien u goed geinformeerd bent. De informatie op ah.nl vervangt niet het individueel advies van een arts, apotheker of drogist. Voor de volledige consumenten-informatie van een zelfzorgmedicijn, verwijzen wij u naar de bijsluiter van de fabrikant, zoals goedgekeurd door het College ter Beoordeling van Geneesmiddelen. AH biedt deze verwijzingen, zoals het CBG, als service aan. AH is niet verantwoordelijk voor de juistheid van de aldaar aangeboden informatie. Er geldt voor dit product een maximum van 3 stuks per bestelling.",['Laag zout' 'Laag vet' 'Laag suiker'],Drogisterij Gezondheid Zelfzorg Pijnstillers Paracetamol,"roter [SEP] paracetamol 500 mg tabletten [SEP] Roter Paracetamol 500mg, tabletten, bestemd voor patienten met hoofdpijn, zenuwpijn, koorts en pijn bij griep en verkoudheid, koorts en pijn na vaccinatie, spierpijn, kiespijn, menstruatiepijn, spit. Meer info? Bekijk hieronder de productinformatie Persoonlijk advies nodig? Bel gratis: 0800-4040017. Wij zijn bereikbaar van maandag t/m vrijdag van 09.00 - 17.00 uur. Of kijk op http://www.thuisarts.nl/ Wij adviseren u alleen tot aanschaf en gebruik van een zelfzorgmedicijn over te gaan indien u goed geinformeerd bent. De informatie op ah.nl vervangt niet het individueel advies van een arts, apotheker of drogist. Voor de volledige consumenten-informatie van een zelfzorgmedicijn, verwijzen wij u naar de bijsluiter van de fabrikant, zoals goedgekeurd door het College ter Beoordeling van Geneesmiddelen. AH biedt deze verwijzingen, zoals het CBG, als service aan. AH is niet verantwoordelijk voor de juistheid van de aldaar aangeboden informatie. Er geldt voor dit product een maximum van 3 stuks per bestelling. [SEP] pijnstillers",roter paracetamol 500 mg tabletten pijnstillers,null,null,null
0.13396397,6963,123865,AH,Sweet palermo rode puntpaprika,"Zoete puntpaprika heeft een zoetere smaak dan de normale paprika. Heerlijk als snack, in een salade, gegrild of gevuld uit de oven. Smaak: zoete puntpaprika is fris en zoet van smaak Bewaren: op een koele plek buiten de koelkast. Bewaar paprika's niet in de koelkast, want dan verliezen ze hun smaak Uitzonderlijk zoet en door de dunne schil ook nog eens sappig en knapperig","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Nutri-Score A' 'Geen sulfiet' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']","Aardappel groente fruit Seizoensgroente (lente)
 Seizoensgroente (herfst) Groente Paprika Tomaat paprika mais
 Zoete puntpaprika","ah [SEP] sweet palermo rode puntpaprika [SEP] Zoete puntpaprika heeft een zoetere smaak dan de normale paprika. Heerlijk als snack, in een salade, gegrild of gevuld uit de oven. Smaak: zoete puntpaprika is fris en zoet van smaak Bewaren: op een koele plek buiten de koelkast. Bewaar paprika's niet in de koelkast, want dan verliezen ze hun smaak Uitzonderlijk zoet en door de dunne schil ook nog eens sappig en knapperig [SEP] vruchtgroenten paprika",ah sweet palermo rode puntpaprika vruchtgroenten paprika,null,null,null
0.13393505,6887,490630,Pomme d'or,Tomato paste 4-pack,"Dubbel geconcentreerde tomatenpasta geeft smaak en body aan soepen, sauzen en stoofschotels. In blik 4x140g Een echte smaakmaker in vele gerechten","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Nutri-Score A' 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag vet'
 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']","Pasta rijst en wereldkeuken Soepen sauzen kruiden olie
 Conserven Mediterrane keuken Italiaanse keuken Groenteconserven
 Tomaten (conserven) Tomaten paprika pepers (conserven)
 Tomatenpuree (conserven)","pomme d'or [SEP] tomato paste 4-pack [SEP] Dubbel geconcentreerde tomatenpasta geeft smaak en body aan soepen, sauzen en stoofschotels. In blik 4x140g Een echte smaakmaker in vele gerechten [SEP] tomaten puree",pomme d'or tomato paste 4-pack tomaten puree,null,null,null
0.13259797,1258,208747,Dettol,Allesreiniger power & fresh citrus,"Dettol citrus spray zorgt voor een perfecte hygiene in het hele huis. De driedubbele werking verwijdert gemakkelijk vet, voedselresten en vuil. Dit is dettols nummer 1 spray tegen vet. Dettol allesreiniger voor perfecte hygiëne Driedubbele werking: Verwijdert vet, voedselresten en vuil Laat een zichbare glans achter Frisse geur",['Laag zout' 'Laag vet' 'Laag suiker'],Huishouden Schoonmaakmiddelen Allesreiniger,"dettol [SEP] allesreiniger power & fresh citrus [SEP] Dettol citrus spray zorgt voor een perfecte hygiene in het hele huis. De driedubbele werking verwijdert gemakkelijk vet, voedselresten en vuil. Dit is dettols nummer 1 spray tegen vet. Dettol allesreiniger voor perfecte hygiëne Driedubbele werking: Verwijdert vet, voedselresten en vuil Laat een zichbare glans achter Frisse geur [SEP] allesreiniger vloeibaar",dettol allesreiniger power & fresh citrus allesreiniger vloeibaar,null,null,null
0.128423,3919,217359,AH,Koffiecreamer navul,Romige koffiecreamer navulverpakking Maakt koffie zachtromig Lang houdbaar zonder koeling Prijsfavorieten: topkwaliteit en altijd laaggeprijsd,"['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Nutri-Score E' 'Geen sulfiet' 'Geen sesam'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Laag suiker' 'Prijsfavoriet' 'Geen eieren' 'Geen noten' 'Geen selderij'
 'Geen gluten']","Zuivel plantaardig en eieren Koffiemelk koffieroom koffiecreamers
 Koffiecreamer",ah [SEP] koffiecreamer navul [SEP] Romige koffiecreamer navulverpakking Maakt koffie zachtromig Lang houdbaar zonder koeling Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] creamer multiserve,ah koffiecreamer navul creamer multiserve,null,null,null
0.12818521,6008,485200,AH,Paracetamol 500mg liquid caps,"Albert heijn paracetamol liquid caps 500 mg wordt gebruikt voor behandeling van milde tot matige pijn en/of koorts. Na inname wordt het snel en bijna volledig geabsorbeerd in maagdarmstelsel De max. Plasmaconcentratie wordt na 15 min. Tot 1,5 uur na inname bereikt Is geschikt voor volwassenen, en kinderen die meer dan 30kg wegen",['Laag zout' 'Laag vet' 'Laag suiker'],Drogisterij Gezondheid Zelfzorg Pijnstillers Paracetamol,"ah [SEP] paracetamol 500mg liquid caps [SEP] Albert heijn paracetamol liquid caps 500 mg wordt gebruikt voor behandeling van milde tot matige pijn en/of koorts. Na inname wordt het snel en bijna volledig geabsorbeerd in maagdarmstelsel De max. Plasmaconcentratie wordt na 15 min. Tot 1,5 uur na inname bereikt Is geschikt voor volwassenen, en kinderen die meer dan 30kg wegen [SEP] pijnstillers",ah paracetamol 500mg liquid caps pijnstillers,null,null,null
0.124603376,3539,217356,AH,Guacamole,"Guacamole verrijkt met tomaat, ui, jalapeño en een pittige kruidenmix. Probeer onze guacamole eens met hollandse garnalen, gerookte zalm, in een wrap of op een sandwich. Smaak: vol en romig Bij de bbq of op de borreltafel is guacamole een klassieker Dankzij de veelzijdigheid van guacamole zijn er steeds nieuwe combinaties te ontdekken Guacamole is meer dan een dip","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Laag vet'
 'Geen mosterd' 'Geen lactose' 'Nutri-Score A' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']","Kaas vleeswaren tapas Soepen sauzen kruiden olie Sauzen
 Smeersels & dips Dip Dipsaus Dipsaus (vers)","ah [SEP] guacamole [SEP] Guacamole verrijkt met tomaat, ui, jalapeño en een pittige kruidenmix. Probeer onze guacamole eens met hollandse garnalen, gerookte zalm, in een wrap of op een sandwich. Smaak: vol en romig Bij de bbq of op de borreltafel is guacamole een klassieker Dankzij de veelzijdigheid van guacamole zijn er steeds nieuwe combinaties te ontdekken Guacamole is meer dan een dip [SEP] spreads dips tapenades",ah guacamole spreads dips tapenades,null,null,null
