scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.64895284,8680,233263,Duryea,Maizena,"De originele binder voor sauzen, jus en groente. Maakt groente extra lekker 100% zuivere maïszetmeel van de allerbeste kwaliteit","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Geen sulfiet' 'Veganistisch' 'Geen sesam' 'Laag vet'
 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij' 'Geen gluten']","Pasta rijst en wereldkeuken Bakkerij en banket
 Snoep koek chips en chocolade Zelf bakken Bakproducten
 Basis bakbenodigdheden Bindmiddel","duryea [SEP] maizena [SEP] De originele binder voor sauzen, jus en groente. Maakt groente extra lekker 100% zuivere maïszetmeel van de allerbeste kwaliteit [SEP] hm bindmiddel paneermiddel",duryea maizena hm bindmiddel paneermiddel,null,null,null
0.64722264,10292,498433,Koopmans,Maizena,"Bindmiddel op basis van mais. Met Koopmans maizena bind je heel gemakkelijk al jouw gerechten Geschikt voor soep, jus, saus, groentenat, stoofschotels etc Koopmans maizena is neutraal van smaak en blank van kleur","['Laag vet' 'Geen gluten' 'Geen lactose' 'Laag zout'
 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Veganistisch' 'Laag suiker' 'Geen schelpdieren (schaaldieren)'
 'Vegetarisch' 'Geen noten' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Geen selderij' 'Geen mosterd' 'Geen sulfiet' 'Geen sesam' 'Geen eieren']","Pasta rijst en wereldkeuken Bakkerij en banket
 Snoep koek chips en chocolade Zelf bakken Bakproducten
 Basis bakbenodigdheden Bindmiddel","koopmans [SEP] maizena [SEP] Bindmiddel op basis van mais. Met Koopmans maizena bind je heel gemakkelijk al jouw gerechten Geschikt voor soep, jus, saus, groentenat, stoofschotels etc Koopmans maizena is neutraal van smaak en blank van kleur [SEP] hm bindmiddel paneermiddel",koopmans maizena hm bindmiddel paneermiddel,null,null,null
0.5379471,19752,539304,AH,Pinda en maïsmix gezouten,,"['Geen gluten' 'Geen lactose' 'Geen noten'
 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis' 'Laag suiker'
 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd'
 'Nutri-Score C' 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Vegetarisch'
 'Geen selderij']","Snoep koek chips en chocolade Noten Noten in bakje
 ""Pindas (bakje)""",ah [SEP] pinda en maïsmix gezouten [SEP]  [SEP] mb luxe multimix,ah pinda en maïsmix gezouten mb luxe multimix,null,null,null
0.46334705,13924,104064,Bonduelle,Crispy maïs,"Een gouden medaille, voor een goudgele korrel. Onze Bonduelle Crispy mais is niet meer weg te denken uit de Nederlandse voorraadkast. Dan is het aan jou om er een heerlijk gerecht van te maken. Gestoomd voor een heerlijke crrrrrispy bite Vrij van restanten van bestrijdingsmiddelen Van nature zoete smaak! Lekker in salades en (mexicaanse) gerechten Gerijpt onder de europese zon","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Nutri-Score A' 'Geen sulfiet' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Aardappel groente fruit Soepen sauzen kruiden olie Conserven
 Groente Groenteconserven Tomaat paprika mais Mais (conserven)
 Mais Maiskorrels (conserven)","bonduelle [SEP] crispy maïs [SEP] Een gouden medaille, voor een goudgele korrel. Onze Bonduelle Crispy mais is niet meer weg te denken uit de Nederlandse voorraadkast. Dan is het aan jou om er een heerlijk gerecht van te maken. Gestoomd voor een heerlijke crrrrrispy bite Vrij van restanten van bestrijdingsmiddelen Van nature zoete smaak! Lekker in salades en (mexicaanse) gerechten Gerijpt onder de europese zon [SEP] mais",bonduelle crispy maïs mais,null,null,null
0.46334705,8283,3537,Bonduelle,Crispy maïs,"Een gouden medaille, voor een goudgele korrel. Onze Bonduelle Crispy mais is niet meer weg te denken uit de Nederlandse voorraadkast. Dan is het aan jou om er een heerlijk gerecht van te maken. Gestoomd voor een heerlijke crrrrrispy bite Vrij van restanten van bestrijdingsmiddelen Van nature zoete smaak! Lekker in salades en (mexicaanse) gerechten Gerijpt onder de europese zon","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Nutri-Score A' 'Geen sulfiet' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Aardappel groente fruit Soepen sauzen kruiden olie Conserven
 Groente Groenteconserven Tomaat paprika mais Mais (conserven)
 Mais Maiskorrels (conserven)","bonduelle [SEP] crispy maïs [SEP] Een gouden medaille, voor een goudgele korrel. Onze Bonduelle Crispy mais is niet meer weg te denken uit de Nederlandse voorraadkast. Dan is het aan jou om er een heerlijk gerecht van te maken. Gestoomd voor een heerlijke crrrrrispy bite Vrij van restanten van bestrijdingsmiddelen Van nature zoete smaak! Lekker in salades en (mexicaanse) gerechten Gerijpt onder de europese zon [SEP] mais",bonduelle crispy maïs mais,null,null,null
0.45485777,15943,550324,AH,Maïskorrels,Prijsfavorieten: topkwaliteit en altijd laaggeprijsd,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd' 'Geen lactose'
 'Nutri-Score A' 'Geen sulfiet' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Prijsfavoriet' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Aardappel groente fruit Diepvries Diepvries groente Groente
 Mais (diepvries) Tomaat paprika mais Mais",ah [SEP] maïskorrels [SEP] Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] groente basis,ah maïskorrels groente basis,null,null,null
0.44933188,15220,510686,Molensteen,Havermeel,"Havermeel. Rijk aan vezels en bron van eiwitten Ideaal voor het maken van brood, crackers, koekjes en pannenkoeken Voedzaam en verantwoord product","['Geen gluten' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Laag suiker' 'Vegetarisch' 'Geen lupine'
 ""Geen pinda's"" 'Laag vet' 'Geen mosterd' 'Geen lactose' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Geen eieren' 'Geen noten'
 'Geen selderij']","Pasta rijst en wereldkeuken Bewuste voeding Bakkerij en banket
 Snoep koek chips en chocolade Zelf bakken Bakproducten
 Wholefoods Basis bakbenodigdheden Granen en melen
 Basismeel bloem Melen (superfood)","molensteen [SEP] havermeel [SEP] Havermeel. Rijk aan vezels en bron van eiwitten Ideaal voor het maken van brood, crackers, koekjes en pannenkoeken Voedzaam en verantwoord product [SEP] hm basismeel",molensteen havermeel hm basismeel,null,null,null
0.4393263,10352,456003,Zonnatura,Havermout meerzaden glutenvrij,Zonnatura biologische havermout meerzaden bevat quinoa en twee soorten zaden. Glutenvrij Rijk aan vezels 100% biologisch 0% onnodige toevoegingen,"['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Vegetarisch' 'Geen lupine' 'biologisch' ""Geen pinda's""
 'Laag vet' 'Geen mosterd' 'Geen lactose' 'Geen sulfiet' 'Veganistisch'
 'Geen sesam' 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Ontbijtgranen en beleg Ontbijtgranen Havermout en pap Havermout
 Havermout (regular)",zonnatura [SEP] havermout meerzaden glutenvrij [SEP] Zonnatura biologische havermout meerzaden bevat quinoa en twee soorten zaden. Glutenvrij Rijk aan vezels 100% biologisch 0% onnodige toevoegingen [SEP] ontbijtgranen,zonnatura havermout meerzaden glutenvrij ontbijtgranen,null,null,null
0.43626738,6299,225016,Smaakt,Maismeel biologisch,Maismeel is licht verteerbaar en kan onder andere worden gebruikt om tortilla's en maisbrood mee te bakken. Of bijvoorbeeld een maispapje.,"['Geen gluten' 'Geen melk' 'Geen noten'
 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis' 'Laag suiker'
 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'biologisch' 'Geen mosterd'
 'Geen lactose' 'Geen sulfiet' 'Geen sesam' 'Veganistisch' 'Laag vet'
 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Geen eieren'
 'Geen selderij']","Pasta rijst en wereldkeuken Bewuste voeding Bakkerij en banket
 Snoep koek chips en chocolade Zelf bakken Glutenvrij
 Bakproducten Basis bakbenodigdheden Glutenvrije bakproducten
 Bakkerij glutenvrij Bakproducten (glutenvrij) Basismeel bloem
 Maismeel",smaakt [SEP] maismeel biologisch [SEP] Maismeel is licht verteerbaar en kan onder andere worden gebruikt om tortilla's en maisbrood mee te bakken. Of bijvoorbeeld een maispapje. [SEP] bio melen en bakken,smaakt maismeel biologisch bio melen en bakken,null,null,null
0.4356744,9918,39187,Bonduelle,Maïs mexicana,"Staat een vakantie naar een warm land voorlopig niet in de sterren? niet getreurd. Onze mais mexicana is gevuld met mais, erwtjes en zongerijpte paprikas. Voor het vakantiegevoel in eigen keuken. Na de oogst gestoomd voor de beste smaak en bite Knapperige mais in de mix met erwtjes en zongerijpte paprikas Lekker in de Mexicaanse maaltijd","['Geen melk' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis'
 'Laag suiker' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen mosterd'
 'Geen lactose' 'Nutri-Score A' 'Geen sulfiet' 'Veganistisch' 'Geen sesam'
 'Laag vet' 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Soepen sauzen kruiden olie Conserven Groenteconserven
 Groentemix (conserven) Groenemix (conserven)","bonduelle [SEP] maïs mexicana [SEP] Staat een vakantie naar een warm land voorlopig niet in de sterren? niet getreurd. Onze mais mexicana is gevuld met mais, erwtjes en zongerijpte paprikas. Voor het vakantiegevoel in eigen keuken. Na de oogst gestoomd voor de beste smaak en bite Knapperige mais in de mix met erwtjes en zongerijpte paprikas Lekker in de Mexicaanse maaltijd [SEP] traditionele groente",bonduelle maïs mexicana traditionele groente,null,null,null
