scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.12139292,19319,550582,AH,Flock haas groen 26cm,AH flock haas. Kleur: groen Afmeting: 26 cm De AH paashazen zijn mooi geflockt waardoor ze er zacht en aaibaar uitzien. Plaat ze als decoratie bijvoorbeeld op de gezellige eettafel  en vier een Vrolijk Pasen!,['Laag zout' 'Laag vet' 'Laag suiker'],Koken tafelen vrije tijd Paasversiering & decoratie Paasdecoratie,ah [SEP] flock haas groen 26cm [SEP] AH flock haas. Kleur: groen Afmeting: 26 cm De AH paashazen zijn mooi geflockt waardoor ze er zacht en aaibaar uitzien. Plaat ze als decoratie bijvoorbeeld op de gezellige eettafel  en vier een Vrolijk Pasen! [SEP] pasen in out,ah flock haas groen 26cm pasen in out,null,null,null
0.11631976,20421,550583,AH,Flock haas liggend 12cm,AH flock haas liggend. Kleur: groen Afmeting: 12 cm De AH paashazen zijn mooi geflockt waardoor ze er zacht en aaibaar uitzien. Plaat ze als decoratie bijvoorbeeld op de gezellige eettafel  en vier een Vrolijk Pasen!,['Laag zout' 'Laag vet' 'Laag suiker'],Koken tafelen vrije tijd Paasversiering & decoratie Paasdecoratie,ah [SEP] flock haas liggend 12cm [SEP] AH flock haas liggend. Kleur: groen Afmeting: 12 cm De AH paashazen zijn mooi geflockt waardoor ze er zacht en aaibaar uitzien. Plaat ze als decoratie bijvoorbeeld op de gezellige eettafel  en vier een Vrolijk Pasen! [SEP] pasen in out,ah flock haas liggend 12cm pasen in out,null,null,null
0.11621401,18384,550584,AH,Flock haas zittend 13cm,AH flock haas zittend. Kleur: groen Afmeting: 13 cm De AH paashazen zijn mooi geflockt waardoor ze er zacht en aaibaar uitzien. Plaat ze als decoratie bijvoorbeeld op de gezellige eettafel  en vier een Vrolijk Pasen!,['Laag zout' 'Laag vet' 'Laag suiker'],Koken tafelen vrije tijd Paasversiering & decoratie Paasdecoratie,ah [SEP] flock haas zittend 13cm [SEP] AH flock haas zittend. Kleur: groen Afmeting: 13 cm De AH paashazen zijn mooi geflockt waardoor ze er zacht en aaibaar uitzien. Plaat ze als decoratie bijvoorbeeld op de gezellige eettafel  en vier een Vrolijk Pasen! [SEP] pasen in out,ah flock haas zittend 13cm pasen in out,null,null,null
0.11404894,17738,516242,AH,Pasen melamine eierdopje haas,Non food paasassortiment. Leuk voor op de paastafel,['Laag zout' 'Laag vet' 'Laag suiker'],Koken tafelen vrije tijd Paasversiering & decoratie Servies,ah [SEP] pasen melamine eierdopje haas [SEP] Non food paasassortiment. Leuk voor op de paastafel [SEP] pasen in out,ah pasen melamine eierdopje haas pasen in out,null,null,null
0.113436945,7553,516237,AH,Pasen melamine bord haas,Non food paasassortiment. Leuk voor op de paastafel,['Laag zout' 'Laag vet' 'Laag suiker'],Koken tafelen vrije tijd Paasversiering & decoratie Servies,ah [SEP] pasen melamine bord haas [SEP] Non food paasassortiment. Leuk voor op de paastafel [SEP] pasen in out,ah pasen melamine bord haas pasen in out,null,null,null
0.11248266,15379,550580,AH,Flock haas wit,AH Flock kuiken in wit. Bevat 6 stuks Leuke decoratie tijdens Pasen!,['Laag zout' 'Laag vet' 'Laag suiker'],Koken tafelen vrije tijd Paasversiering & decoratie Paasdecoratie,ah [SEP] flock haas wit [SEP] AH Flock kuiken in wit. Bevat 6 stuks Leuke decoratie tijdens Pasen! [SEP] pasen in out,ah flock haas wit pasen in out,null,null,null
0.11088922,9637,516243,AH,Pasen re-usable glas haas,Non food paasassortiment. Leuk voor op de paastafel,['Laag zout' 'Laag vet' 'Laag suiker'],Koken tafelen vrije tijd Paasversiering & decoratie Servies,ah [SEP] pasen re-usable glas haas [SEP] Non food paasassortiment. Leuk voor op de paastafel [SEP] pasen in out,ah pasen re-usable glas haas pasen in out,null,null,null
0.10718758,13670,467621,Smaakt,Gerst gepareld,"Parelgerst is geparelde gerst. Bij parelgort is de zemel er als het ware van afgeslepen, daarom heeft hij zon mooie ronde vorm. Biologisch","['Geen gluten' 'Geen melk' 'Geen noten'
 'Geen kreeftachtigen (schaaldieren)' 'Geen soja' 'Geen vis' 'Laag suiker'
 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'biologisch' 'Geen mosterd'
 'Geen lactose' 'Geen sulfiet' 'Geen sesam' 'Veganistisch' 'Laag vet'
 'Laag zout' 'Geen schelpdieren (schaaldieren)' 'Geen eieren'
 'Geen selderij']","Pasta rijst en wereldkeuken Bewuste voeding Bakkerij en banket
 Snoep koek chips en chocolade Zelf bakken Bakproducten
 Wholefoods Basis bakbenodigdheden Granen en melen
 Basismeel bloem Melen (superfood)","smaakt [SEP] gerst gepareld [SEP] Parelgerst is geparelde gerst. Bij parelgort is de zemel er als het ware van afgeslepen, daarom heeft hij zon mooie ronde vorm. Biologisch [SEP] bio maaltijden",smaakt gerst gepareld bio maaltijden,null,null,null
0.1056689,18617,550014,Craft Lab,3D dieren knutselset Pasen,Maak het leukste 3d knutselfiguur voor pasen. Maak zelf een 3d konijn met deze knutselset Voor een creatief pasen,['Laag zout' 'Laag vet' 'Laag suiker'],"Koken tafelen vrije tijd Paas knutsels speelgoed
 Hobby vrije tijd Paasversiering & decoratie
 Tekenen verven knutselen Knutselspullen",craft lab [SEP] 3d dieren knutselset pasen [SEP] Maak het leukste 3d knutselfiguur voor pasen. Maak zelf een 3d konijn met deze knutselset Voor een creatief pasen [SEP] pasen in out,craft lab 3d dieren knutselset pasen pasen in out,null,null,null
0.10535934,20099,550606,AH,Set nestjes gekleurd,"Set van 4 nestjes in de kleuren roze, groen, geel en oranje. Afmeting: 15 x 15 cm Leuke decoratie tijdens Pasen!",['Laag zout' 'Laag vet' 'Laag suiker'],Koken tafelen vrije tijd Paasversiering & decoratie Paasdecoratie,"ah [SEP] set nestjes gekleurd [SEP] Set van 4 nestjes in de kleuren roze, groen, geel en oranje. Afmeting: 15 x 15 cm Leuke decoratie tijdens Pasen! [SEP] pasen in out",ah set nestjes gekleurd pasen in out,null,null,null
0.10399933,18005,550559,AH,Vogel op clip rood,AH Vogels op een clip. Set van 2 Leuke decoratie tijdens Pasen!,['Laag zout' 'Laag vet' 'Laag suiker'],Koken tafelen vrije tijd Paasversiering & decoratie Paasdecoratie,ah [SEP] vogel op clip rood [SEP] AH Vogels op een clip. Set van 2 Leuke decoratie tijdens Pasen! [SEP] pasen in out,ah vogel op clip rood pasen in out,null,null,null
0.10285853,8548,417968,Oatly!,Haver cuisine bio,Perfect voor elke type kookactiviteit met een gehalte verzadigde vetten van slechts 3%. En dat is opmerkelijk laag Feitelijk kunt u dit product gebruiken in plaats van room We only do oats Wow no Cow Post milk generation,"['Geen gluten' 'Geen melk' 'Geen kreeftachtigen (schaaldieren)'
 'Geen soja' 'Geen vis' 'Vegetarisch' 'Geen lupine' 'biologisch'
 ""Geen pinda's"" 'Laag vet' 'Geen mosterd' 'Geen lactose' 'Geen sulfiet'
 'Veganistisch' 'Geen sesam' 'Laag zout'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen selderij']","Zuivel plantaardig en eieren Plantaardige zuivel alternatieven
 Plantaardige room",oatly! [SEP] haver cuisine bio [SEP] Perfect voor elke type kookactiviteit met een gehalte verzadigde vetten van slechts 3%. En dat is opmerkelijk laag Feitelijk kunt u dit product gebruiken in plaats van room We only do oats Wow no Cow Post milk generation [SEP] plantaardig keuken,oatly! haver cuisine bio plantaardig keuken,null,null,null
0.1023401,11381,550591,Decoris,Haas polyester,Haas met hanger. leuk om een paastak mee te versieren Te gebruiken voor paasdecoratie Vrolijke kleuren Speels effect,['Laag zout' 'Laag vet' 'Laag suiker'],Koken tafelen vrije tijd Paasversiering & decoratie Paasdecoratie,decoris [SEP] haas polyester [SEP] Haas met hanger. leuk om een paastak mee te versieren Te gebruiken voor paasdecoratie Vrolijke kleuren Speels effect [SEP] pasen in out,decoris haas polyester pasen in out,null,null,null
