scoreLLM score,ann,prd_id,brand,title,highlights,properties,taxonomies,full_text,full_text_no_sep,Unnamed: 0,search_query,scorePropensity score
0.6267202,9660,523483,AH,Melk,Prijsfavorieten: topkwaliteit en altijd laaggeprijsd,"['Geen gluten' 'Geen lactose' 'Geen noten' 'Geen soja'
 'Geen kreeftachtigen (schaaldieren)' 'Geen vis' 'Vegetarisch'
 'Geen lupine' ""Geen pinda's"" 'Geen melk' 'Laag vet' 'Geen mosterd'
 'Nutri-Score E' 'Geen sulfiet' 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Prijsfavoriet'
 'Geen eieren' 'Geen selderij']","Snoep koek chips en chocolade Chocolade Repen en tabletten
 Melkchocolade repen Melkchocolade",ah [SEP] melk [SEP] Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] repen en tabletten,ah melk repen en tabletten,null,null,null
0.60603845,17635,209786,Melkunie,Milkshake aardbei,Melkunie milkshake aardbei heeft een heerlijk zachte aardbeismaak. Schudden voor gebruik Gekoeld het lekkerst,"['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Geen mosterd' 'Geen sulfiet' 'Geen sesam' 'Laag vet' 'Laag zout'
 'Veganistisch' 'Geen schelpdieren (schaaldieren)' 'Laag suiker'
 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']","Zuivel plantaardig en eieren Tussendoortjes Yoghurt en kwark
 Zuivel tussendoortjes (voor thuis en onderweg) Yoghurt
 Yoghurt tussendoortjes",melkunie [SEP] milkshake aardbei [SEP] Melkunie milkshake aardbei heeft een heerlijk zachte aardbeismaak. Schudden voor gebruik Gekoeld het lekkerst [SEP] zuiveldrank gezoet,melkunie milkshake aardbei zuiveldrank gezoet,null,null,null
0.6032561,2709,523176,AH,houdbare volle melk 6-pack,AH Volle melk 6-pack AH volle melk x6,[],Zuivel plantaardig en eieren Melk Volle melk,ah [SEP] houdbare volle melk 6-pack [SEP] AH Volle melk 6-pack AH volle melk x6 [SEP] ,ah houdbare volle melk 6-pack ,null,null,null
0.59576243,14686,1516,AH,Magere melk,Natuurlijk lekker Makkelijk te openen en te hersluiten,"['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Geen mosterd' 'Nutri-Score A' 'Geen sulfiet' 'Geen sesam' 'Laag vet'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Laag suiker' 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']",Zuivel plantaardig en eieren Melk Magere melk,ah [SEP] magere melk [SEP] Natuurlijk lekker Makkelijk te openen en te hersluiten [SEP] halfvolle melk en magere melk,ah magere melk halfvolle melk en magere melk,null,null,null
0.5919628,15922,520476,AH,houdbare magere melk 4-pack,AH Magere melk 4-pack AH Magere melk 4x,[],Zuivel plantaardig en eieren Melk Magere melk,ah [SEP] houdbare magere melk 4-pack [SEP] AH Magere melk 4-pack AH Magere melk 4x [SEP] ,ah houdbare magere melk 4-pack ,null,null,null
0.5906442,1471,34419,AH Biologisch,Volle koffiemelk,Zacht en romig van smaak Met zorg gemaakt van de lekkerste melk,"['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' 'biologisch' ""Geen pinda's""
 'Geen melk' 'Laag vet' 'Geen mosterd' 'Nutri-Score C' 'Geen sulfiet'
 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Zuivel plantaardig en eieren Koffiemelk koffieroom koffiecreamers
 Koffiemelk",ah biologisch [SEP] volle koffiemelk [SEP] Zacht en romig van smaak Met zorg gemaakt van de lekkerste melk [SEP] koffiemelk fles,ah biologisch volle koffiemelk koffiemelk fles,null,null,null
0.5878172,134,128423,AH Biologisch,Halfvolle koffiemelk,Zacht en romig van smaak Met zorg gemaakt van de lekkerste melk,"['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' 'biologisch' ""Geen pinda's""
 'Geen melk' 'Laag vet' 'Geen mosterd' 'Nutri-Score B' 'Geen sulfiet'
 'Geen sesam' 'Laag zout' 'Veganistisch'
 'Geen schelpdieren (schaaldieren)' 'Laag suiker' 'Geen eieren'
 'Geen noten' 'Geen selderij' 'Geen gluten']","Zuivel plantaardig en eieren Koffiemelk koffieroom koffiecreamers
 Koffiemelk",ah biologisch [SEP] halfvolle koffiemelk [SEP] Zacht en romig van smaak Met zorg gemaakt van de lekkerste melk [SEP] koffiemelk fles,ah biologisch halfvolle koffiemelk koffiemelk fles,null,null,null
0.58741164,10018,450535,AH,Volle melk,"Houdbare volle melk van 100% weidemelk, want de lekkerste melk komt van de gelukkigste koeien.. Heerlijk vol en romig van smaak Ideaal om romig cappuccinoschuim van te maken Prijsfavorieten: topkwaliteit en altijd laaggeprijsd","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Nutri-Score B' 'Geen sulfiet' 'Geen sesam'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Laag suiker' 'Prijsfavoriet' 'Geen eieren' 'Geen noten' 'Geen selderij'
 'Geen gluten']","Zuivel plantaardig en eieren Melk Houdbare melk
 Volle houdbare melk","ah [SEP] volle melk [SEP] Houdbare volle melk van 100% weidemelk, want de lekkerste melk komt van de gelukkigste koeien.. Heerlijk vol en romig van smaak Ideaal om romig cappuccinoschuim van te maken Prijsfavorieten: topkwaliteit en altijd laaggeprijsd [SEP] volle melk",ah volle melk volle melk,null,null,null
0.58102643,1169,382907,AH Biologisch,Halfvolle melk,"Een lekker glas koude halfvolle melk voor ieder moment van de dag. Melk van koeien die grazen op weilanden en biologisch voer krijgen Om zo te drinken maar ook voor toetjes, bij het bakken of voor havermout Voor het hele gezin Een lekkere dorstlesser","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' 'biologisch' ""Geen pinda's""
 'Geen melk' 'Geen mosterd' 'Nutri-Score B' 'Geen sulfiet' 'Geen sesam'
 'Laag vet' 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Laag suiker' 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']",Zuivel plantaardig en eieren Melk Halfvolle melk,"ah biologisch [SEP] halfvolle melk [SEP] Een lekker glas koude halfvolle melk voor ieder moment van de dag. Melk van koeien die grazen op weilanden en biologisch voer krijgen Om zo te drinken maar ook voor toetjes, bij het bakken of voor havermout Voor het hele gezin Een lekkere dorstlesser [SEP] halfvolle melk en magere melk",ah biologisch halfvolle melk halfvolle melk en magere melk,null,null,null
0.5775531,10293,1524,AH,Volle melk,"Verse Volle melk Lekker vol van smaak Weidemelk keurmerk: koeien die minimaal 120 dagen, 6uur per dag in de wei lopen","['Geen lactose' 'Geen kreeftachtigen (schaaldieren)' 'Geen soja'
 'Geen vis' 'Vegetarisch' 'Geen lupine' ""Geen pinda's"" 'Geen melk'
 'Laag vet' 'Geen mosterd' 'Nutri-Score B' 'Geen sulfiet' 'Geen sesam'
 'Laag zout' 'Veganistisch' 'Geen schelpdieren (schaaldieren)'
 'Laag suiker' 'Geen eieren' 'Geen noten' 'Geen selderij' 'Geen gluten']",Zuivel plantaardig en eieren Melk Volle melk,"ah [SEP] volle melk [SEP] Verse Volle melk Lekker vol van smaak Weidemelk keurmerk: koeien die minimaal 120 dagen, 6uur per dag in de wei lopen [SEP] volle melk",ah volle melk volle melk,null,null,null
